date,loss,win,wins,losses,total,win_pct
2026-05-08,40,41,41,40,81,0.506
2026-05-09,16,12,12,16,28,0.429
2026-05-10,8,17,17,8,25,0.68
2026-05-12,15,14,14,15,29,0.483
2026-05-13,27,16,16,27,43,0.372
2026-05-14,8,38,38,8,46,0.826
2026-05-15,19,19,19,19,38,0.5
2026-05-17,8,17,17,8,25,0.68
2026-05-18,20,26,26,20,46,0.565
2026-05-19,16,11,11,16,27,0.407
2026-05-20,19,25,25,19,44,0.568
2026-05-21,11,34,34,11,45,0.756
2026-05-22,7,34,34,7,41,0.829
2026-05-23,15,13,13,15,28,0.464
2026-05-24,13,21,21,13,34,0.618
2026-05-25,11,26,26,11,37,0.703
2026-05-27,15,16,16,15,31,0.516
2026-05-28,33,10,10,33,43,0.233
2026-05-29,11,26,26,11,37,0.703
2026-05-30,7,13,13,7,20,0.65
2026-05-31,14,14,14,14,28,0.5
2026-06-01,6,35,35,6,41,0.854
2026-06-02,23,22,22,23,45,0.489
2026-06-03,20,18,18,20,38,0.474
2026-06-04,18,25,25,18,43,0.581
2026-06-06,7,12,12,7,19,0.632
2026-06-07,20,30,30,20,50,0.6
2026-06-08,17,24,24,17,41,0.585
2026-06-09,20,24,24,20,44,0.545
2026-06-10,38,12,12,38,50,0.24
2026-06-11,20,17,17,20,37,0.459
