window_days,stat,variant,mae,rmse
7,points,A,4.0269,5.3631
7,points,B,4.0006,5.3277
7,points,C,3.9286,5.1925
7,points,D,3.9229,5.2254
7,rebounds,A,1.7887,2.2925
7,rebounds,B,1.7814,2.286
7,rebounds,C,1.7357,2.267
7,rebounds,D,1.7543,2.2662
7,assists,A,1.2978,1.6975
7,assists,B,1.2947,1.6946
7,assists,C,1.2626,1.6838
7,assists,D,1.2739,1.6838
7,threes_made,A,0.742,1.1482
7,threes_made,B,0.7409,1.1471
7,threes_made,C,0.7525,1.1278
7,threes_made,D,0.7451,1.1339
7,steals,A,0.7898,0.9472
7,steals,B,0.7863,0.9454
7,steals,C,0.7283,0.9234
7,steals,D,0.7522,0.9264
7,blocks,A,0.5503,0.7967
7,blocks,B,0.545,0.7931
7,blocks,C,0.5452,0.7889
7,blocks,D,0.5448,0.7892
14,points,A,4.0329,5.3322
14,points,B,3.9798,5.2624
14,points,C,3.9842,5.1402
14,points,D,3.9558,5.1689
14,rebounds,A,1.8126,2.3022
14,rebounds,B,1.8002,2.2921
14,rebounds,C,1.7478,2.2536
14,rebounds,D,1.7703,2.266
14,assists,A,1.2579,1.677
14,assists,B,1.2473,1.6639
14,assists,C,1.2072,1.6436
14,assists,D,1.2227,1.647
14,threes_made,A,0.7369,1.0765
14,threes_made,B,0.737,1.0756
14,threes_made,C,0.7434,1.0604
14,threes_made,D,0.7394,1.0646
14,steals,A,0.799,0.9808
14,steals,B,0.7989,0.9801
14,steals,C,0.7331,0.9556
14,steals,D,0.7618,0.96
14,blocks,A,0.5329,0.7606
14,blocks,B,0.5305,0.7567
14,blocks,C,0.517,0.7523
14,blocks,D,0.5232,0.7527
30,points,A,4.3511,5.715
30,points,B,4.428,5.7093
30,points,C,4.4439,5.6697
30,points,D,4.4224,5.6753
30,rebounds,A,1.8402,2.3462
30,rebounds,B,1.8856,2.3724
30,rebounds,C,1.8698,2.3561
30,rebounds,D,1.874,2.3585
30,assists,A,1.2679,1.6891
30,assists,B,1.2901,1.6937
30,assists,C,1.2772,1.6857
30,assists,D,1.2817,1.686
30,threes_made,A,0.7613,1.0818
30,threes_made,B,0.7777,1.0817
30,threes_made,C,0.7911,1.0842
30,threes_made,D,0.7838,1.0803
30,steals,A,0.778,0.9602
30,steals,B,0.7905,0.9677
30,steals,C,0.7675,0.9556
30,steals,D,0.7778,0.9591
30,blocks,A,0.5217,0.7311
30,blocks,B,0.5306,0.7299
30,blocks,C,0.5235,0.7249
30,blocks,D,0.5264,0.7254
